name;category;city;address;phone;email;instagram;facebook;website;postal_code;area
Allan McGavin Sports Medicine Clinic Physiotherapy;Day Spas, Health & Medical, Massage Therapy;Vancouver;2329 West Mall;(604) 827-0739;'tabitha@allanmcgavinphysio.com', 'thomas@allanmcgavinphysio.com', 'scott@allanmcgavinphysio.com', 'dan@allanmcgavinphysio.com', 'usb@allanmcgavinphysio.com', 'dylan@allanmcgavinphysio.com', 'dallas@allanmcgavinphysio.com', 'henry@allanmcgavinphysio.com', 'laszlo@allanmcgavinphysio.com', 'Teri-Lynn@allanmcgavinphysio.com', 'lauren@allanmcgavinphysio.com', 'greg@allanmcgavinphysio.com', 'ryan@allanmcgavinphysio.com', 'trish@allanmcgavinphysio.com', 'jared@allanmcgavinphysio.com', 'jay@allanmcgavinphysio.com', 'alinah@allanmcgavinphysio.com', 'alex@allanmcgavinphysio.com', 'sheldon@allanmcgavinphysio.com', 'andrea@allanmcgavinphysio.com', 'julian@allanmcgavinphysio.com', 'ron@allanmcgavinphysio.com', 'midori@allanmcgavinphysio.com', 'luisa@allanmcgavinphysio.com', 'zenya@allanmcgavinphysio.com', 'info@allanmcgavinphysio.com', 'plaza@allanmcgavinphysio.com', 'heather@allanmcgavinphysio.com', 'nswc@allanmcgavinphysio.com', 'cathy@allanmcgavinphysio.com';'https://www.instagram.com/allanmcgavinclinic/';'https://www.facebook.com/pages/Allan-McGavin-Sports-Medicine-Centre-Physiotherapy/233257313492136';http://www.allanmcgavinphysio.com;V6T 1Z4;UBC
Allan McGavin Sports Medicine Clinic Physiotherapy;Day Spas, Health & Medical, Massage Therapy;Vancouver;2215 Wesbrook Mall;(604) 822-6833;'scott@allanmcgavinphysio.com', 'alex@allanmcgavinphysio.com', 'usb@allanmcgavinphysio.com', 'jared@allanmcgavinphysio.com', 'dallas@allanmcgavinphysio.com', 'greg@allanmcgavinphysio.com', 'plaza@allanmcgavinphysio.com', 'nswc@allanmcgavinphysio.com', 'sheldon@allanmcgavinphysio.com', 'Teri-Lynn@allanmcgavinphysio.com', 'julian@allanmcgavinphysio.com', 'henry@allanmcgavinphysio.com', 'zenya@allanmcgavinphysio.com', 'ron@allanmcgavinphysio.com', 'dylan@allanmcgavinphysio.com', 'heather@allanmcgavinphysio.com', 'andrea@allanmcgavinphysio.com', 'tabitha@allanmcgavinphysio.com', 'info@allanmcgavinphysio.com', 'alinah@allanmcgavinphysio.com', 'ryan@allanmcgavinphysio.com', 'midori@allanmcgavinphysio.com', 'trish@allanmcgavinphysio.com', 'cathy@allanmcgavinphysio.com', 'luisa@allanmcgavinphysio.com', 'jay@allanmcgavinphysio.com', 'lauren@allanmcgavinphysio.com', 'thomas@allanmcgavinphysio.com', 'laszlo@allanmcgavinphysio.com', 'dan@allanmcgavinphysio.com';'https://www.instagram.com/allanmcgavinclinic/';'https://www.facebook.com/pages/Allan-McGavin-Sports-Medicine-Centre-Physiotherapy/233257313492136';http://www.allanmcgavinphysio.com;V6T 1Z3;UBC
Allan McGavin Sports Physiotherapy Clinic- Plaza of Nations;Massage Therapy, Health & Medical;Vancouver;B103 - 750 Pacific Boulevard;(604) 642-6761;'alex@allanmcgavinphysio.com', 'ron@allanmcgavinphysio.com', 'plaza@allanmcgavinphysio.com', 'midori@allanmcgavinphysio.com', 'cathy@allanmcgavinphysio.com', 'dan@allanmcgavinphysio.com', 'ryan@allanmcgavinphysio.com', 'jared@allanmcgavinphysio.com', 'tabitha@allanmcgavinphysio.com', 'henry@allanmcgavinphysio.com', 'thomas@allanmcgavinphysio.com', 'usb@allanmcgavinphysio.com', 'greg@allanmcgavinphysio.com', 'scott@allanmcgavinphysio.com', 'alinah@allanmcgavinphysio.com', 'luisa@allanmcgavinphysio.com', 'trish@allanmcgavinphysio.com', 'jay@allanmcgavinphysio.com', 'info@allanmcgavinphysio.com', 'zenya@allanmcgavinphysio.com', 'nswc@allanmcgavinphysio.com', 'Teri-Lynn@allanmcgavinphysio.com', 'julian@allanmcgavinphysio.com', 'lauren@allanmcgavinphysio.com', 'laszlo@allanmcgavinphysio.com', 'heather@allanmcgavinphysio.com', 'sheldon@allanmcgavinphysio.com', 'andrea@allanmcgavinphysio.com', 'dylan@allanmcgavinphysio.com', 'dallas@allanmcgavinphysio.com';'https://www.instagram.com/allanmcgavinclinic/';'https://www.facebook.com/pages/Allan-McGavin-Sports-Medicine-Centre-Physiotherapy/233257313492136';http://www.allanmcgavinphysio.com;V6B 5E7;Downtown
Allegro Performance + Wellness;Health & Medical;North Vancouver;;(604) 782-4338;'dancephysio@shaw.ca';'https://www.instagram.com/dancephysioerika/', 'https://www.instagram.com/p/CrlkJxTxvu6/', 'https://www.instagram.com/p/CrTmXBPxCcE/', 'https://www.instagram.com/p/CrYud9xRQz7/', 'https://www.instagram.com/p/Cr1R8Qov8Pb/', 'https://www.instagram.com/p/CrEB__WLfhJ/', '#instagramfeed';'https://www.facebook.com/DancePhysioErika/';http://www.allegroperformance.com;V7M 3H6;Central Lonsdale
Alliance Wellness Clinic;Massage, Massage Therapy, Day Spas, Health & Medical;Vancouver;827 Hamilton Street;(604) 687-7678;'info@alliancewellness.ca';'https://www.instagram.com/alliancewellness';'https://www.facebook.com/180881192008554';http://www.alliancewellness.ca;V6B 2R7;Downtown, Yaletown
Alliance Wellness Clinic;Massage Therapy, Health & Medical;Vancouver;1177 W Broadway;(604) 737-1177;'info@alliancewellness.ca';'https://www.instagram.com/alliancewellness';'https://www.facebook.com/180881192008554';http://www.alliancewellness.ca;V6H 1G3;Fairview Slopes
Allison Sutton, MD - West Dermatology;Dermatologists, Health & Medical;Vancouver;105-805 West Broadway;(604) 428-6692;;'https://www.instagram.com/westdermatologyca/', 'https://www.instagram.com/westdermatologyca';'https://www.facebook.com/Sutton-Cosmetic-317540505292225/', 'https://www.facebook.com/Sutton-West-Dermatology-317540505292225/';http://www.westdermatology.ca;V5Z 1K1;Fairview Slopes
Allstar Dental Laboratories;Health & Medical;Vancouver;141 7th Avenue E;(604) 872-2552;'info@allstardental.com';'https://www.instagram.com/allstar_dental/';;http://www.allstardental.com;V5T 1M5;Mount Pleasant
Allura Sex Therapy Centre;Health & Medical;Vancouver;744 West Hastings Street;(604) 674-0405;'hello@alluracentre.com', 'connect@alluracentre.com';'https://www.instagram.com/alluratherapycentre/', 'https://www.instagram.com/allurasextherapycentre/';'https://www.facebook.com/allurasextherapycentre';http://www.alluracentre.com;V6C 1A5;Downtown
Allure Spa;Eyebrow Services;Duncan;81 Trunk Road;(250) 710-0453;;'www.instagram.com/allureduncan';'https://allure-lashes-ltd.myshopify.com/pages/service-menufacebook-pixel-helper', 'www.facebook.com/allureduncan', '/pages/service-menufacebook-pixel-helper';http://www.allurelashes.ca;V9L 2N7;Duncan
Alouette Day Spa;Eyebrow Services, Beauty & Spas, Day Spas, Eyelash Service;Maple Ridge;23619 128th Crescent;(778) 989-4382;'alouettedayspa@gmail.com';'https://instagram.com/alouettedayspa';'https://www.facebook.com/alouettedayspa';http://www.alouettedayspa.com;V4R 1P5;Maple Ridge
Alpine Massage Therapy;Massage Therapy, Day Spas, Health & Medical;Vancouver;2930 Arbutus;(604) 736-0100;;'https://www.instagram.com/alpinemassagetherapy/';'https://www.facebook.com/Alpine-Massage-Therapy-Inc-103043825355407', 'https://www.facebook.com/profile.php?id=100069714339727';https://alpinemassage.ca;V6J 3Y9;Kitsilano
Altum Spa & Wellness;Hair Removal, Massage, Skin Care, Nail Salons, Beauty & Spas, Day Spas;Vancouver;1110 Howe Street;(604) 685-3878;'info@altumspa.ca';'https://www.instagram.com/altumness/';'https://www.facebook.com/altum.spa/';http://www.altumspa.ca;V6Z 1R2;Granville Entertainment District, Downtown
Always Best Care Senior Services;Health & Medical;North Vancouver;133 W 17th Street;(778) 945-3010;;'https://www.instagram.com/alwaysbestcarecorporate/';'https://www.facebook.com/alwaysbestcarecorporate';https://www.alwaysbestcarecanada.ca/ca/british-columbia/;V7M 1V5;Central Lonsdale
Amanda Maloney, ENT;Health & Medical;Surrey;101-8644 120 Street;(778) 565-3239;;'https://www.instagram.com/dr.amandamaloney/?hl=en';;http://www.dramandamaloney.com;V3W 3N6;Surrey
Amaris Gamache;Permanent Makeup, Beauty & Spas;Vancouver;1305 Burrard Street;(780) 885-6244;;'https://www.instagram.com/amarisgamachepmu';;http://www.amarisgamache.com;V6Z 1Z7;Downtown, West End
Amarjot S Sajan, DDS;Health & Medical;Victoria;1175 Douglas Street;(250) 383-3741;;'https://www.instagram.com/drsajaninc/', 'https://www.instagram.com/p/CCJ1rw1BcJG/?utm_source=ig_embed&utm_campaign=loading';'https://www.facebook.com/DrSajanInc', 'https://www.facebook.com/DrSajanInc/reviews/?ref=page_internal';http://drsajan.ca;V8W 2E1;Victoria
Amber Eckel, DC;Massage Therapy, Health & Medical;Burnaby;4212 Dawson St;(604) 558-2288;'info@auroramed.ca';'https://www.instagram.com/p/CvlInCqxvY3/', 'https://www.instagram.com/p/CviD80dxZjC/', 'https://www.instagram.com/reel/CwAfXgssUu_/', 'https://www.instagram.com/aurora_medical/', 'https://www.instagram.com/p/CvzqR_1rzco/', 'https://www.instagram.com/p/CwAgtKJLOLj/', 'https://www.instagram.com/p/CwDbGXLLSrK/';'https://www.facebook.com/Aurora-Integrative-Medical-133568833379801/';http://www.auroraintegrativemedical.com;V5C 0B8;Burnaby
Ambition Salon;Hair Salons;Abbotsford;210 - 34077 Gladys Avenue;(778) 809-7893;'casi@ambitionsalon.ca';'https://www.instagram.com/p/Cv6Ld6friBu/', 'https://www.instagram.com/p/Cvxl6EzPor5/', 'https://www.instagram.com/p/Cv84Q39rE3A/', 'https://www.instagram.com/p/Cv_bOdNreJA/', 'https://www.instagram.com/p/Cv1I6d9LX_I/', 'https://www.instagram.com/casigillhair/', 'https://www.instagram.com/p/CwBLHcZSlYf/', 'https://www.instagram.com/p/CwGGD7ox5AC/';;http://ambitionsalon.ca;V2S 2E8;Abbotsford
